"order_date","total_ss_sales","total_tts_sales_clean","total_sales_overall"
"2024-01-01",1000.97,2996.84,3997.81
"2024-01-02",612.93,3167.73,3780.66
"2024-01-03",1060.89,4251.54,5312.43
"2024-01-04",1505.34,4285.11,5790.45
"2024-01-05",468.37,0,468.37
"2024-01-06",369.48,2033.86,2403.34
"2024-01-07",634.00,2093.47,2727.47
"2024-01-08",1098.77,3598.20,4696.97
"2024-01-09",1208.46,3947.81,5156.27
"2024-01-10",933.90,3152.51,4086.41
"2024-01-11",413.27,2682.16,3095.43
"2024-01-12",1410.21,4437.29,5847.50
"2024-01-13",803.30,3017.82,3821.12
"2024-01-14",1089.17,4764.90,5854.07
"2024-01-15",1419.02,3733.33,5152.35
"2024-01-16",483.99,1853.12,2337.11
"2024-01-17",1037.55,4921.93,5959.48
"2024-01-18",1020.25,3895.50,4915.75
"2024-01-19",964.00,3737.38,4701.38
"2024-01-20",1360.90,0,1360.90
"2024-01-21",722.21,4316.08,5038.29
"2024-01-22",870.79,0,870.79
"2024-01-23",1015.02,0,1015.02
"2024-01-24",703.70,4786.76,5490.46
"2024-01-25",599.10,3131.10,3730.20
"2024-01-26",1276.11,4220.62,5496.73
"2024-01-27",1696.12,0,1696.12
"2024-01-28",957.45,1614.82,2572.27
"2024-01-29",566.00,3808.32,4374.32
"2024-01-30",1193.66,2992.47,4186.13
"2024-01-31",957.90,4541.58,5499.48
"2024-02-01",528.00,0,528.00
"2024-02-02",962.75,2336.93,3299.68
"2024-02-03",1671.09,4211.56,5882.65
"2024-02-04",624.57,4432.52,5057.09
"2024-02-05",1109.33,2803.95,3913.28
"2024-02-06",1314.59,4751.39,6065.98
"2024-02-07",1038.60,0,1038.60
"2024-02-08",1113.81,1934.11,3047.92
"2024-02-09",1485.37,1959.72,3445.09
"2024-02-10",1176.40,2533.78,3710.18
"2024-02-11",991.50,0,991.50
"2024-02-12",889.29,0,889.29
"2024-02-13",920.40,4677.23,5597.63
"2024-02-14",1220.08,3090.24,4310.32
"2024-02-15",797.39,3977.88,4775.27
"2024-02-16",1414.71,2710.23,4124.94
"2024-02-17",422.88,1598.82,2021.70
"2024-02-18",686.35,2396.37,3082.72
"2024-02-19",1000.18,2185.13,3185.31
"2024-02-20",1217.40,3023.87,4241.27
"2024-02-21",734.59,1685.95,2420.54
"2024-02-22",1048.11,0,1048.11
"2024-02-23",487.67,3363.79,3851.46
"2024-02-24",897.03,3548.91,4445.94
"2024-02-25",544.06,1711.83,2255.89
"2024-02-26",668.58,1874.24,2542.82
"2024-02-27",1396.83,4609.28,6006.11
"2024-02-28",513.54,0,513.54
"2024-02-29",1291.81,4242.53,5534.34
"2024-03-01",803.45,0,803.45
"2024-03-02",776.39,4326.94,5103.33
"2024-03-03",945.31,4320.29,5265.60
"2024-03-04",978.98,4003.28,4982.26
"2024-03-05",919.10,3106.44,4025.54
"2024-03-06",1144.44,2259.21,3403.65
"2024-03-07",700.74,3295.37,3996.11
"2024-03-08",1002.21,1802.10,2804.31
