order_id,order_date,product_name,quantity,unit_price,gross_sales,discount_amount,refund_amount,net_sales,state
SS3000,2024-01-01,My Hero Academia Backpack,1,48,48,0,0,48,Florida
SS3001,2024-01-01,One Piece Figure,1,35,35,6.42,0,28.58,Illinois
SS3002,2024-01-01,Attack on Titan T-Shirt,1,28,28,0,0,28,Texas
SS3003,2024-01-01,Anime Mystery Box,1,60,60,6.16,0,53.84,Massachusetts
SS3004,2024-01-01,Anime Mystery Box,1,60,60,0,0,60,California
SS3005,2024-01-01,Anime Mystery Box,3,60,180,28.06,0,151.94,Texas
SS3006,2024-01-01,Anime Mystery Box,1,60,60,0,0,60,California
SS3007,2024-01-01,Anime Mystery Box,3,60,180,29.39,0,150.61,Missouri
SS3008,2024-01-01,Anime Mystery Box,3,60,180,0,0,180,Texas
SS3009,2024-01-01,Naruto Hoodie,1,55,55,0,0,55,Tennessee
SS3010,2024-01-01,Demon Slayer Poster,1,15,15,0,0,15,Florida
SS3011,2024-01-01,Anime Mystery Box,3,60,180,0,180,0,Colorado
SS3012,2024-01-01,Naruto Hoodie,1,55,55,0,0,55,Arizona
SS3013,2024-01-01,Naruto Hoodie,1,55,55,0,0,55,Tennessee
SS3014,2024-01-01,Anime Mystery Box,1,60,60,0,0,60,California
SS3015,2024-01-02,Naruto Hoodie,2,55,110,0,0,110,Florida
SS3016,2024-01-02,One Piece Figure,1,35,35,0,0,35,North Carolina
SS3017,2024-01-02,Attack on Titan T-Shirt,3,28,84,0,0,84,Florida
SS3018,2024-01-02,Anime Mystery Box,2,60,120,7.94,0,112.06,Washington
SS3019,2024-01-02,Naruto Hoodie,1,55,55,0,0,55,Arizona
SS3020,2024-01-02,Anime Mystery Box,3,60,180,12.24,0,167.76,Texas
SS3021,2024-01-02,Naruto Hoodie,1,55,55,5.89,0,49.11,North Carolina
SS3022,2024-01-03,Naruto Hoodie,2,55,110,0,0,110,Washington
SS3023,2024-01-03,Naruto Hoodie,2,55,110,17.78,0,92.22,Texas
SS3024,2024-01-03,Naruto Hoodie,2,55,110,0,0,110,Georgia
SS3025,2024-01-03,Naruto Hoodie,2,55,110,13.58,0,96.42,Florida
SS3026,2024-01-03,Dragon Ball Z Hat,2,22,44,0,0,44,California
SS3027,2024-01-03,Anime Mystery Box,2,60,120,0,0,120,Texas
SS3028,2024-01-03,Naruto Hoodie,3,55,165,0,0,165,Florida
SS3029,2024-01-03,Anime Mystery Box,3,60,180,24.96,0,155.04,California
SS3030,2024-01-03,One Piece Figure,1,35,35,6.6,0,28.4,California
SS3031,2024-01-03,Anime Mystery Box,2,60,120,0,0,120,Texas
SS3032,2024-01-03,Jujutsu Kaisen Keychain,3,8,24,4.19,0,19.81,Arizona
SS3033,2024-01-04,Anime Mystery Box,3,60,180,0,0,180,Texas
SS3034,2024-01-04,Naruto Hoodie,1,55,55,0,0,55,Indiana
SS3035,2024-01-04,Demon Slayer Poster,3,15,45,7.37,0,37.63,North Carolina
SS3036,2024-01-04,Anime Mystery Box,2,60,120,0,0,120,Arizona
SS3037,2024-01-04,Naruto Hoodie,3,55,165,0,0,165,Michigan
SS3038,2024-01-04,Anime Mystery Box,3,60,180,14.19,0,165.81,Virginia
SS3039,2024-01-04,Anime Mystery Box,3,60,180,13.11,0,166.89,Texas
SS3040,2024-01-04,One Piece Figure,3,35,105,0,0,105,Michigan
SS3041,2024-01-04,Anime Mystery Box,1,60,60,5.99,0,54.01,Texas
SS3042,2024-01-04,Anime Mystery Box,3,60,180,0,0,180,Florida
SS3043,2024-01-04,Naruto Hoodie,3,55,165,0,0,165,California
SS3044,2024-01-04,Naruto Hoodie,1,55,55,0,0,55,Ohio
SS3045,2024-01-04,Attack on Titan T-Shirt,2,28,56,0,0,56,Arizona
SS3046,2024-01-05,Anime Mystery Box,3,60,180,0,0,180,Massachusetts
SS3047,2024-01-05,Anime Mystery Box,1,60,60,6.16,0,53.84,Michigan
SS3048,2024-01-05,Demon Slayer Poster,1,15,15,2.61,0,12.39,Pennsylvania
SS3049,2024-01-05,Naruto Hoodie,2,55,110,21.66,0,88.34,Florida
SS3050,2024-01-05,One Piece Figure,1,35,35,0,0,35,Michigan
SS3051,2024-01-05,Naruto Hoodie,2,55,110,11.2,0,98.8,Texas
SS3052,2024-01-06,Naruto Hoodie,1,55,55,0,55,0,Ohio
SS3053,2024-01-06,Demon Slayer Poster,3,15,45,0,0,45,California
SS3054,2024-01-06,Demon Slayer Poster,1,15,15,0,0,15,California
SS3055,2024-01-06,Jujutsu Kaisen Keychain,2,8,16,0,0,16,California
SS3056,2024-01-06,One Piece Figure,1,35,35,0,0,35,New York
SS3057,2024-01-06,Jujutsu Kaisen Keychain,3,8,24,0,0,24,New Jersey
SS3058,2024-01-06,One Piece Figure,2,35,70,0,0,70,California
SS3059,2024-01-06,Anime Mystery Box,1,60,60,0,0,60,Arizona
SS3060,2024-01-06,Attack on Titan T-Shirt,2,28,56,6.58,0,49.42,New Jersey
SS3061,2024-01-06,Demon Slayer Poster,2,15,30,2.94,0,27.06,Florida
SS3062,2024-01-06,Attack on Titan T-Shirt,1,28,28,0,0,28,Tennessee
SS3063,2024-01-07,Naruto Hoodie,1,55,55,0,0,55,Colorado
SS3064,2024-01-07,Anime Mystery Box,2,60,120,0,0,120,Virginia
SS3065,2024-01-07,Attack on Titan T-Shirt,1,28,28,0,28,0,California
SS3066,2024-01-07,One Piece Figure,3,35,105,0,0,105,Georgia
SS3067,2024-01-07,Naruto Hoodie,2,55,110,0,0,110,Texas
SS3068,2024-01-07,Naruto Hoodie,3,55,165,0,0,165,California
SS3069,2024-01-07,Jujutsu Kaisen Keychain,3,8,24,0,0,24,Texas
SS3070,2024-01-07,Naruto Hoodie,1,55,55,0,0,55,Texas
SS3071,2024-01-08,Naruto Hoodie,3,55,165,0,0,165,Florida
SS3072,2024-01-08,Attack on Titan T-Shirt,3,28,84,0,0,84,Texas
SS3073,2024-01-08,Anime Mystery Box,3,60,180,0,0,180,Washington
SS3074,2024-01-08,Naruto Hoodie,1,55,55,3.87,0,51.13,Illinois
SS3075,2024-01-08,Dragon Ball Z Hat,1,22,22,0,0,22,Illinois
SS3076,2024-01-08,Naruto Hoodie,1,55,55,0,0,55,North Carolina
SS3077,2024-01-08,Naruto Hoodie,2,55,110,12.13,0,97.87,California
SS3078,2024-01-08,Demon Slayer Poster,2,15,30,0,0,30,Texas
SS3079,2024-01-08,Jujutsu Kaisen Keychain,3,8,24,4.61,0,19.39,California
SS3080,2024-01-08,Anime Mystery Box,3,60,180,0,0,180,California
SS3081,2024-01-08,Naruto Hoodie,3,55,165,16.62,0,148.38,Texas
SS3082,2024-01-08,Dragon Ball Z Hat,3,22,66,0,0,66,Florida
SS3083,2024-01-09,One Piece Figure,2,35,70,0,0,70,Florida
SS3084,2024-01-09,Attack on Titan T-Shirt,3,28,84,0,0,84,Washington
