order_date,total_sales
2024-01-01,2996.84
2024-01-02,3167.73
2024-01-03,4251.54
2024-01-04,4285.11
2024-01-06,2033.86
2024-01-07,2093.47
2024-01-08,3598.2
2024-01-09,3947.81
2024-01-10,3152.51
2024-01-11,2682.16
2024-01-12,4437.29
2024-01-13,3017.82
2024-01-14,4764.9
2024-01-15,3733.33
2024-01-16,1853.12
2024-01-17,4921.93
2024-01-18,3895.5
2024-01-19,3737.38
2024-01-21,4316.08
2024-01-24,4786.76
2024-01-25,3131.1
2024-01-26,4220.62
2024-01-28,1614.82
2024-01-29,3808.32
2024-01-30,2992.47
2024-01-31,4541.58
2024-02-02,2336.93
2024-02-03,4211.56
2024-02-04,4432.52
2024-02-05,2803.95
2024-02-06,4751.39
2024-02-08,1934.11
2024-02-09,1959.72
2024-02-10,2533.78
2024-02-13,4677.23
2024-02-14,3090.24
2024-02-15,3977.88
2024-02-16,2710.23
2024-02-17,1598.82
2024-02-18,2396.37
2024-02-19,2185.13
2024-02-20,3023.87
2024-02-21,1685.95
2024-02-23,3363.79
2024-02-24,3548.91
2024-02-25,1711.83
2024-02-26,1874.24
2024-02-27,4609.28
2024-02-29,4242.53
2024-03-02,4326.94
2024-03-03,4320.29
2024-03-04,4003.28
2024-03-05,3106.44
2024-03-06,2259.21
2024-03-07,3295.37
2024-03-08,1802.1
2024-03-09,3216.71
2024-03-10,2889.2
2024-03-11,2296.71
2024-03-12,2645.06
2024-03-13,4633.95
2024-03-14,3844.91
2024-03-15,2423.05
2024-03-16,4012.13
2024-03-17,3491.43
2024-03-18,4999.76
2024-03-19,1829.55
2024-03-20,3814.31
2024-03-21,2769.64
2024-03-22,4702.13
2024-03-24,4570.66
2024-03-25,2217.08
2024-03-27,4240.07
2024-03-28,3039.79
2024-03-29,2179.21
2024-03-30,3772.5
2024-03-31,2713.26
2024-04-01,3808.37
2024-04-02,2429.8
2024-04-03,3991.76
2024-04-04,1689.57
2024-04-05,4681.78
2024-04-06,4044.41
2024-04-08,2574.57
2024-04-10,2940.34
2024-04-11,4598.83
2024-04-12,1794.37
2024-04-14,4558.63
2024-04-15,2230.12
2024-04-16,1618
2024-04-17,4113.02
2024-04-18,4062.92
2024-04-19,3352.69
2024-04-20,2019.24
2024-04-21,2200.79
2024-04-23,3383.46
2024-04-24,2364.98
2024-04-25,3996.67
2024-04-26,1907.27
2024-04-27,3679.25
2024-04-28,4920.47
2024-04-29,2090.38
2024-04-30,2029.26
2024-05-01,2223.23
2024-05-02,2438.61
2024-05-03,1915.9
2024-05-04,3689.79
2024-05-05,2448.68
2024-05-07,3776.13
2024-05-08,3307.33
2024-05-09,1783.05
2024-05-10,1857.21
2024-05-11,4641.54
2024-05-13,1576.97
2024-05-14,2339.33
2024-05-15,2313.38
2024-05-16,3177.33
2024-05-18,2048.97
2024-05-19,1691.65
2024-05-21,3133.57
2024-05-22,3677.2
2024-05-24,2038.02
2024-05-25,1979.86
2024-05-26,3709.85
2024-05-27,2393.29
2024-05-28,4519.52
